"Key","Kind","File","Line","EnglishTokens","RussianTokens"
"fund_expedition_0007_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","77","[choice.GetFirstName] || [choice.GetFirstName] || [choice.GetFirstNamePossessive] || [choice.GetFirstNamePossessive] || [choice.GetHerHim] || [choice.GetHerHis] || [choice.GetSheHe] || [choice.GetSheHe] || [choice.GetSheHe|U] || [ROOT.Char.GetTitledFirstName]","[choice.GetFirstName] || [choice.GetFirstName] || [choice.GetFirstNamePossessive] || [choice.GetFirstNamePossessive] || [choice.GetHerHim] || [choice.GetSheHe] || [choice.GetSheHe|U] || [ROOT.Char.GetTitledFirstName] || [Select_CString(choice.IsFemale, 'смертельно больной', 'смертельно больным' )]"
"fund_expedition_0008_alt_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","62","[choice.GetFirstName] || [choice.GetSheHe|U] || [choice.GetSheHe|U] || [newly_created_artifact.GetName] || [ROOT.Char.GetLadyLord]","[choice.GetFirstName] || [choice.GetSheHe] || [choice.GetSheHe|U] || [newly_created_artifact.GetName] || [ROOT.Char.GetLadyLord]"
"fund_expedition_0008_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","60","[choice.GetFirstName] || [newly_created_artifact.GetName]","[choice.GetFirstName] || [newly_created_artifact.GetName] || [Select_CString(choice.IsFemale, 'оставила', 'оставил' )]"
"fund_expedition_0009_alt_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","67","[choice.GetFirstName] || [choice.GetSheHe|U] || [choice.GetSheHe|U] || [choice.GetSheHe|U] || [newly_created_artifact.GetName] || [ROOT.Char.GetLadyLord]","[choice.GetFirstName] || [choice.GetSheHe] || [choice.GetSheHe|U] || [choice.GetSheHe|U] || [newly_created_artifact.GetName] || [ROOT.Char.GetLadyLord]"
"fund_expedition_0009_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","65","[choice.GetFirstName] || [newly_created_artifact.GetName]","[choice.GetFirstName] || [newly_created_artifact.GetName] || [Select_CString(choice.IsFemale, 'оставила', 'оставил' )]"
"fund_expedition_0010_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","91","[choice.GetFirstName] || [choice.GetFirstNamePossessive] || [choice.GetHerHim] || [choice.GetHerHis] || [choice.GetHerHis] || [ROOT.Char.GetLadyLord|U] || [ROOT.Char.GetTitledFirstName]","[choice.GetFirstName] || [choice.GetFirstName] || [choice.GetFirstNamePossessive] || [choice.GetSheHe] || [ROOT.Char.GetLadyLord|U] || [ROOT.Char.GetTitledFirstName] || [Select_CString(choice.IsFemale, 'вернулась', 'вернулся' )] || [Select_CString(choice.IsFemale, 'обещала', 'обещал' )] || [Select_CString(choice.IsFemale, 'приберегла', 'приберёг' )]"
"fund_expedition_0011_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","137","[choice.GetFirstName] || [newly_created_artifact.GetName]","[choice.GetFirstName] || [newly_created_artifact.GetName] || [Select_CString(choice.IsFemale, 'оставила', 'оставил' )]"
"fund_expedition_0011_valyrian_alt_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","139","[choice.GetFirstName] || [newly_created_artifact.GetName]","[choice.GetFirstName] || [newly_created_artifact.GetName] || [Select_CString(choice.IsFemale, 'оставила', 'оставил' )]"
"fund_expedition_0012_alt_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","103","[choice.GetFirstName] || [choice.GetSheHe|U] || [choice.GetSheHe|U] || [newly_created_artifact.GetName]","[choice.GetFirstName] || [choice.GetSheHe] || [choice.GetSheHe|U] || [newly_created_artifact.GetName]"
"fund_expedition_0012_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","97","[choice.GetFirstName] || [newly_created_artifact.GetName]","[choice.GetFirstName] || [newly_created_artifact.GetName] || [Select_CString(choice.IsFemale, 'оставила', 'оставил' )]"
"fund_expedition_0013_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","107","[choice.GetFirstName] || [newly_created_artifact.GetName]","[choice.GetFirstName] || [newly_created_artifact.GetName] || [Select_CString(choice.IsFemale, 'оставила', 'оставил' )]"
"fund_expedition_0014_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","113","[choice.GetFirstName] || [newly_created_artifact.GetName]","[choice.GetFirstName] || [newly_created_artifact.GetName] || [Select_CString(choice.IsFemale, 'оставила', 'оставил' )]"
"go_on_voyage_decision_tooltip","Expressions","localization/russian/valyrian_decisions_l_russian.yml","4","[piety|E] || [prestige|E] || [voyage|E]","[Concept('voyage', 'плавание')|E] || [piety|E] || [prestige|E]"
"hire_master_smith.0001_desc","Expressions","localization/russian/valyrian_decisions_l_russian.yml","202","[ROOT.Char.GetLadyLord] || [smith.GetFirstName] || [smith.GetFirstName] || [smith.GetHerHim] || [smith.GetHerHim] || [smith.GetSheHe]","[ROOT.Char.GetLadyLord] || [Select_CString(smith.IsFemale, 'изготавливала', 'изготавливал' )] || [Select_CString(smith.IsFemale, 'умеет ли она', 'умеет ли он' )] || [smith.GetFirstName] || [smith.GetSheHe]"
"hurt_exploring_arm_valyria_desc_third_perspective","Expressions","localization/russian/valyrian_memories_l_russian.yml","17","[owner.GetHerHis] || [owner.GetName]","[owner.GetName] || [Select_CString(owner.IsFemale, 'потеряла', 'потерял' )]"
"hurt_exploring_leg_valyria_desc_third_perspective","Expressions","localization/russian/valyrian_memories_l_russian.yml","13","[owner.GetHerHis] || [owner.GetName]","[owner.GetName] || [Select_CString(owner.IsFemale, 'потеряла', 'потерял' )]"
"is_dragon_blood","Expressions","localization/russian/valyrian_decisions_l_russian.yml","125","[Concept('dragonblood','Dragonblood')|E]","[Concept('dragonblood', 'драконьей кровью')|E]"
"returned_expedition_valyria_desc_third_perspective","Expressions","localization/russian/valyrian_memories_l_russian.yml","36","[owner.GetFullName] || [owner.GetHerHis]","[owner.GetFullName] || [Select_CString(owner.IsFemale, 'вернулась', 'вернулся' )]"
"returned_hurt_expedition_valyria_desc_third_perspective","Expressions","localization/russian/valyrian_memories_l_russian.yml","43","[owner.GetFullName] || [owner.GetHerHis]","[owner.GetFullName]"
"returned_sick_expedition_valyria_desc_third_perspective","Expressions","localization/russian/valyrian_memories_l_russian.yml","47","[owner.GetFullName] || [owner.GetHerHis]","[owner.GetFullName] || [Select_CString(owner.IsFemale, 'привезла', 'привёз' )]"
