"Catalog","File","Line","Key","Problem","Text"
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","4","voyage_to_valyria_desc","Inner double quote: review","Отправляйтесь в путешествие, чтобы найти давно потерянные валирийские артефакты. Путешествие к дымному морю невероятно опасно, большинство путешественников не возвращаются."""
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","39","fund_expedition_0002_desc","Inner double quote: review","[choice.GetFirstName] встречает меня в доках, [choice.GetSheHe] [Select_CString(choice.IsFemale, 'собрала', 'собрал')] приличную команду и достаточно людей, чтобы совершить путешествие в Старую Валирию. [choice.GetSheHe|U] склоняется передо мной и говорит.\n\n""[ROOT.Char.GetTitledFirstName], я не подведу вас. Я вернусь к вам с сокровищами, которые были потеряны давным-давно в Роке. Даю вам слово.\n\nС этим [choice.GetSheHe] уходит, ведя [choice.GetHerHis] корабль и [choice.GetHerHis] людей на запад, в Дымное море."
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","54","fund_expedition_0006_alt_desc","Inner double quote: review","[choice.GetFirstName] медленно открывает ящик и достает артефакт. [choice.GetSheHe|l] вручает мне [newly_created_artifact.GetName]!\n\n ""Валирийская сталь, [Select_CString(ROOT.Char.IsFemale, 'моя', ' мой')] [ROOT.Char.GetLadyLord]. Да послужит она вам на благо."" говорит [choice.GetSheHe|l]."
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","61","fund_expedition_0008_alt_desc","Inner double quote: review","[choice.GetFirstName] медленно открывает коробку и достает артефакт. [choice.GetSheHe|l] протягивает мне невылупившийся [newly_created_artifact.GetName].\n\nХотя оно, скорее всего, никогда не вылупится, это яйцо напоминает о том, что дало валирийцам их силу, и дает надежду, что могущество драконов когда-нибудь вернется.\n\n ""Яйцо дракона, [Select_CString(ROOT.Char.IsFemale, 'моя', ' мой')] [ROOT.Char.GetLadyLord]. Пусть оно принесет вам удачу"". говорит [choice.GetSheHe|l]."
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","66","fund_expedition_0009_alt_desc","Inner double quote: review","[choice.GetFirstName] медленно открывает коробку и достает артефакт. [choice.GetSheHe|l] протягивает мне [newly_created_artifact.GetName]!\n\nПо слухам, стеклянные свечи позволяют колдунам видеть через горы, моря и пустыни. Говорят, что пламя свечи может дарить людям видения и сны и позволять им общаться друг с другом на расстоянии в полмира.\n\n[choice.GetSheHe|l] также вручает мне кошелек с золотом. ""Золото, чтобы покрыть некоторые расходы на путешествие, [Select_CString(ROOT.Char.IsFemale, 'моя', ' мой')] [ROOT.Char.GetLadyLord]"" [choice.GetSheHe|l] говорит."
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","76","fund_expedition_0007_desc","Inner double quote: review","Я слышал, что корабль [choice.GetFirstNamePossessive] был замечен. Через некоторое время корабль прибывает в док...\n\nКогда я прибыл поздравить [choice.GetFirstName] с благополучным возвращением, я сразу заметил, что что-то не так. [choice.GetFirstName] заметно [Select_CString(choice.IsFemale, 'больна', 'болен' )].  [choice.GetSheHe|U] подходит ко мне и начинает говорить. \n\n""[ROOT.Char.GetTitledFirstName]... я... никогда..."" прежде чем  [choice.GetSheHe]  [Select_CString(choice.IsFemale, 'смогла', 'смог')] закончить [choice.GetSheHe] [Select_CString(victor.IsFemale, 'рухнула', 'рухнул')] передо мной. Мои люди тащат [choice.GetHerHim] к целителям для дальнейшего осмотра...\n\nЯ также заметил, что несколько членов команды [choice.GetFirstNamePossessive] также страдают от той же болезни..."
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","90","fund_expedition_0010_desc","Inner double quote: review","Я слышал, что корабль [choice.GetFirstNamePossessive] был замечен. Через некоторое время корабль прибывает в док...\n\nКогда я прибыл поздравить [choice.GetFirstName] с благополучным возвращением [choice.GetHerHis]. Я вижу, как [choice.GetHerHim] сходит с корабля с широкой ухмылкой на [choice.GetHerHis] лице.\n\n""[ROOT.Char.GetTitledFirstName]! Как и [Select_CString(choice.IsFemale, 'обещала', 'обещал' )], я [Select_CString(choice.IsFemale, 'вернулась', 'вернулся' )]!   Мой экипаж переплыл дымящееся море, исследовал затерянные города Валирии и стал свидетелем многих ужасов, которые терзают эту землю. Во время путешествия мы нашли множество артефактов, величайший из которых я сохранил специально для вас, [Select_CString(ROOT.Char.IsFemale, 'моя', ' мой')] [ROOT.Char.GetLadyLord|l].""\n\n [choice.GetSheHe] возвращается на корабль и ведет меня к ящику."
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","102","fund_expedition_0012_alt_desc","Inner double quote: review","[choice.GetFirstName] медленно открывает ящик и достает артефакт. [choice.GetSheHe|U] протягивает мне [newly_created_artifact.GetName]!\n\n""Драконья плеть, которой когда-то владел древний Драконий владыка. Пусть он послужит вам на благо"" [choice.GetSheHe|U] says.\n\nКак только вы берете кнут, вы чувствуете прилив связи с древними повелителями драконов, чувство благоговения от того, что держите в руках такой значимый кусок истории."
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","134","fund_expedition_0011_valyrian_desc","Inner double quote: review","[choice.GetFirstName] медленно открывает ящик и достает артефакт. [choice.GetSheHe|U] протягивает мне [newly_created_artifact.GetName]!\n\nДраконьи рога - это древние инструменты, которыми пользовались Повелители Драконов Старой Валирии.\n\nС помощью странного колдовства такой предмет может помочь приручить дракона... или так утверждают легенды.\n\nДревние глифы украшают рог.\n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 ;Mc:ÆÊU;#!\n\n""Все драконы должны служить"""
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","138","fund_expedition_0011_valyrian_alt_desc","Inner double quote: review","После этого один из членов команды подходит ко мне и подводит к ящику, который [choice.GetFirstName] Открыв ящик, я обнаруживаю [newly_created_artifact.GetName]!\n\nДраконьи рога - это древние инструменты, которыми пользовались Повелители Драконов Старой Валирии.\n\nС помощью странного колдовства такой предмет может помочь приручить дракона... или так утверждают легенды.\n\n#COLOR:{1.0,1.0,1.0};FONT:ValyrianGlyphsFont;SIZE:20 ;Mc:ÆÊU;#!\n\n""Все драконы должны служить"
"BuiltinRussian","localization/russian/valyrian_decisions_l_russian.yml","200","hire_master_smith.0001_desc","Inner double quote: review","[smith.GetFirstName] предстал передо мной. [smith.GetSheHe] показывает ассортимент различного оружия и драгоценностей, которые были выкованы за годы работы...\n\nКачество работы не оставляет сомнений в том, что [smith.GetFirstName] - это тот, кто мне нужен.\n\nЯ спрашиваю [smith.GetHerHis] известно ли [smith.GetHerHim] работа с валирийской сталью.\n\n""Да, [ROOT.Char.GetLadyLord], я могу сделать из нее все, что вы пожелаете... Если у вас есть материал, конечно."" "
"BuiltinRussian","localization/russian/valyrian_fsb_poses_l_russian.yml","108","wedding_vs_drunk","Inner double quote: review","@valyrian_steel_icon! Кубок из валирийской стали (Пьяный)"" ""@valyrian_steel_icon! Кубок из валирийской стали (Пьяный)"
"BuiltinRussian","localization/russian/valyrian_fsb_poses_l_russian.yml","109","drink_vs_goblet","Inner double quote: review","@valyrian_steel_icon! Кубок из валирийской стали (Пить)"" ""@valyrian_steel_icon! Кубок из валирийской стали (Пить)"
"BuiltinRussian","localization/russian/valyrian_fsb_poses_l_russian.yml","110","toast_vs_goblet","Inner double quote: review","@valyrian_steel_icon! Кубок из валирийской стали (Тост)"" ""@valyrian_steel_icon! Кубок из валирийской стали (Тост)"
"BuiltinRussian","localization/russian/valyrian_fsb_poses_l_russian.yml","112","valyrian_page_flipping","Inner double quote: review","@valyrian_steel_icon! Валирийская книга (Чтение)"" ""@valyrian_steel_icon! Валирийская книга (Чтение)"
"BuiltinRussian","localization/russian/valyrian_fsb_poses_l_russian.yml","113","valyrian_throne_room_writer","Inner double quote: review","@valyrian_steel_icon! Валирийская книга (Писать/Перо)"" ""@valyrian_steel_icon! Валирийская книга (Писать/Перо)"
