"Key","File","Line","Text","Visible","English"
"bookmark_282_eddard_stark_desc","localization/replace/bookmarks/asoiaf_bm_group_8282_l_russian.yml","7","Эддард провёл юность воспитанником Джона Аррена в Долине вместе со своим другом Робертом Баратеоном и прославился непоколебимым чувством чести и справедливости. После похищения его сестры принцем Рейгаром его брат и отец отправились на юг, требуя правосудия у короля Эйериса II. Ответом стала жестокая казнь, и теперь Эйерис требует головы Неда и Роберта. Похищение сестры, убийство родичей и призыв друга заставили Неда поднять Север на войну против Безумного Короля.\n\n#bold Сумеет ли Нед спасти сестру от принца Рейгара — или разделит судьбу отца и брата?#!","Эддард провёл юность воспитанником Джона Аррена в Долине вместе со своим другом Робертом Баратеоном и прославился непоколебимым чувством чести и справедливости. После похищения его сестры принцем Рейгаром его брат и отец отправились на юг, требуя правосудия у короля Эйериса II. Ответом стала жестокая казнь, и теперь Эйерис требует головы Неда и Роберта. Похищение сестры, убийство родичей и призыв друга заставили Неда поднять Север на войну против Безумного Короля.   Сумеет ли Нед спасти сестру от принца Рейгара — или разделит судьбу отца и брата?","Eddard spent his youth a ward of Jon Arryn in the Vale with his friend Robert Baratheon, and became known for his unwavering sense of honour and justice. After his sister's abduction by Prince Rhaegar, his brother and his father went south demanding justice from King Aerys II. Their answer was a gruesome execution, and now Aerys has called for the heads of Ned and Robert. With the kidnapping of his sister, the murder of his kin, and the urging of his friend, Ned has called the North to war against the Mad King.\n\n#bold Will Ned rescue his sister from Prince Rhaegar, or will he meet a similar fate to his brother and father?#!"
"bookmark_282_aerys_targaryen","localization/replace/bookmarks/asoiaf_bm_group_8282_l_russian.yml","12","Король Эйерис II","Король Эйерис II","King Aerys II"
"bookmark_282_aerys_targaryen_desc","localization/replace/bookmarks/asoiaf_bm_group_8282_l_russian.yml","13","Эйерис II начал правление с больших надежд, но после Мятежа в Сумеречном Доле всё резко покатилось под откос. Видя угрозы повсюду, Безумный Король всё сильнее одержим огнём, и когда северяне прибыли требовать правосудия за похищение Лианны Старк, Эйерис приказал жестоко казнить их. Теперь Семь Королевств стоят на пороге гражданской войны, а Безумный Король едва удерживает власть.\n\n#bold Сумеет ли Эйерис перехитрить мятежников, выкорчевать заговорщиков и удержать Железный трон?#!","Эйерис II начал правление с больших надежд, но после Мятежа в Сумеречном Доле всё резко покатилось под откос. Видя угрозы повсюду, Безумный Король всё сильнее одержим огнём, и когда северяне прибыли требовать правосудия за похищение Лианны Старк, Эйерис приказал жестоко казнить их. Теперь Семь Королевств стоят на пороге гражданской войны, а Безумный Король едва удерживает власть.   Сумеет ли Эйерис перехитрить мятежников, выкорчевать заговорщиков и удержать Железный трон?","Aerys II began his reign with great promise, but after the Defiance of Duskendale his reign took a sharp turn for the worse. Seeing threats all around him, the Mad King has grown increasingly obsessed with fire, and when a Northern host arrived seeking justice for the kidnapping of Lyanna Stark, Aerys had them brutally executed. Now the Seven Kingdoms face a civil war, as the Mad King loosely clings to power.\n\n#bold Can Aerys outmanoeuvre the rebels, weed out conspirators, and hold on to the Iron Throne?#!"
"bookmark_282_tywin_lannister_desc","localization/replace/bookmarks/asoiaf_bm_group_8282_l_russian.yml","16","Тайвин принёс своему дому уважение после слабого правления отца. Известный расчётливостью и жестокостью, Тайвин ожесточился, когда его жена Джоанна умерла, рожая карлика Тириона. Когда король Эйерис II назначил старшего сына Тайвина, Джейме, в Королевскую гвардию, Тайвин сложил полномочия Десницы и вернулся в Утёс Кастерли. Несмотря на призыв короля к оружию, Тайвин тщательно держится в стороне от войны.\n\n#bold Сумеет ли Тайвин обратить эту войну на пользу дому Ланнистеров и вознести свою династию ещё выше?#!","Тайвин принёс своему дому уважение после слабого правления отца. Известный расчётливостью и жестокостью, Тайвин ожесточился, когда его жена Джоанна умерла, рожая карлика Тириона. Когда король Эйерис II назначил старшего сына Тайвина, Джейме, в Королевскую гвардию, Тайвин сложил полномочия Десницы и вернулся в Утёс Кастерли. Несмотря на призыв короля к оружию, Тайвин тщательно держится в стороне от войны.   Сумеет ли Тайвин обратить эту войну на пользу дому Ланнистеров и вознести свою династию ещё выше?","Tywin brought his House much respect following the weak rule of his father. Known to be calculating and ruthless, Tywin's heart hardened when his wife Joanna died giving birth to the dwarf Tyrion. When King Aerys II named Tywin's eldest son Jaime to his Kingsguard, Tywin resigned as Hand and returned to Casterly Rock. Despite the King's call to arms, Tywin has carefully remained out of the war.\n\n#bold Can Tywin spin this war to the benefit of House Lannister, and propel his dynasty to further heights?#!"
"asoiaf_aerys_II_crown_name","localization/russian/asoiaf_artifacts/asoiaf_artifacts_l_russian.yml","26","Корона Эйриса II","Корона Эйриса II","Crown of Aerys II"
"asoiaf_aerys_II_crown_description","localization/russian/asoiaf_artifacts/asoiaf_artifacts_l_russian.yml","27","Эта корона, выкованная из потускневшего и потемневшего золота, была создана для молодого и честолюбивого короля Эйриса II Таргариена в начале его правления. Металл отлит в виде языков пламени, закручивающихся вокруг головы носителя. Со временем корона стала отражать противоестественную одержимость Безумного Короля огнём и обрела зловещую славу.","Эта корона, выкованная из потускневшего и потемневшего золота, была создана для молодого и честолюбивого короля Эйриса II Таргариена в начале его правления. Металл отлит в виде языков пламени, закручивающихся вокруг головы носителя. Со временем корона стала отражать противоестественную одержимость Безумного Короля огнём и обрела зловещую славу.","Wrought of dulled and darkened gold, this crown was forged for the young and ambitious King Aerys II Targaryen early in his reign. Its metal is shaped into twisting licks of flame swirling around the wearer's head. The crown eventually came to reflect the Mad King's unnatural obsession with fire, staining it with a sinister reputation."
"PORTRAIT_MODIFIER_custom_headgear_male_headgear_secular_asoiaf_crown_aerys_II","localization/russian/asoiaf_barbershop_l_russian.yml","3","@asoiaf_icon! Корона Эйриса II","Корона Эйриса II","@asoiaf_icon! Crown of Aerys II"
"PORTRAIT_MODIFIER_custom_headgear_female_headgear_secular_asoiaf_crown_aerys_II","localization/russian/asoiaf_barbershop_l_russian.yml","4","@asoiaf_icon! Корона Эйриса II","Корона Эйриса II","@asoiaf_icon! Crown of Aerys II"
"PORTRAIT_MODIFIER_custom_headgear_male_headgear_asoiaf_executioner_cowl","localization/russian/asoiaf_barbershop_l_russian.yml","64","@asoiaf_icon! Executioner's Cowl","Executioner's Cowl","@asoiaf_icon! Executioner's Cowl"
"PORTRAIT_MODIFIER_custom_headgear_female_headgear_asoiaf_executioner_cowl","localization/russian/asoiaf_barbershop_l_russian.yml","65","@asoiaf_icon! Executioner's Cowl","Executioner's Cowl","@asoiaf_icon! Executioner's Cowl"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_north_dress_1_rhaena","localization/russian/asoiaf_barbershop_l_russian.yml","120","@asoiaf_icon! Rhaena's Dress","Rhaena's Dress","@asoiaf_icon! Rhaena's Dress"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_royal","localization/russian/asoiaf_barbershop_l_russian.yml","122","@asoiaf_icon! Lannister Armour #weak – Royal#!","Lannister Armour  – Royal","@asoiaf_icon! Lannister Armour #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_royal","localization/russian/asoiaf_barbershop_l_russian.yml","123","@asoiaf_icon! Lannister Armour #weak – Royal#!","Lannister Armour  – Royal","@asoiaf_icon! Lannister Armour #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_dynast","localization/russian/asoiaf_barbershop_l_russian.yml","124","@asoiaf_icon! Lannister Armour #weak – Ornate#!","Lannister Armour  – Ornate","@asoiaf_icon! Lannister Armour #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_dynast","localization/russian/asoiaf_barbershop_l_russian.yml","125","@asoiaf_icon! Lannister Armour #weak – Ornate#!","Lannister Armour  – Ornate","@asoiaf_icon! Lannister Armour #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_high","localization/russian/asoiaf_barbershop_l_russian.yml","126","@asoiaf_icon! Lannister Armour #weak – High#!","Lannister Armour  – High","@asoiaf_icon! Lannister Armour #weak – High#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_high","localization/russian/asoiaf_barbershop_l_russian.yml","127","@asoiaf_icon! Lannister Armour #weak – High#!","Lannister Armour  – High","@asoiaf_icon! Lannister Armour #weak – High#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_light","localization/russian/asoiaf_barbershop_l_russian.yml","128","@asoiaf_icon! Lannister Armour #weak - Light#!","Lannister Armour  - Light","@asoiaf_icon! Lannister Armour #weak - Light#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_light","localization/russian/asoiaf_barbershop_l_russian.yml","129","@asoiaf_icon! Lannister Armour #weak - Light#!","Lannister Armour  - Light","@asoiaf_icon! Lannister Armour #weak - Light#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_reach_tunic_1_tyrion","localization/russian/asoiaf_barbershop_l_russian.yml","144","@asoiaf_icon! Tyrion's Tunic","Tyrion's Tunic","@asoiaf_icon! Tyrion's Tunic"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_reach_tunic_1_tyrion_ceremonial","localization/russian/asoiaf_barbershop_l_russian.yml","145","@asoiaf_icon! Tyrion's Ceremonial Tunic","Tyrion's Ceremonial Tunic","@asoiaf_icon! Tyrion's Ceremonial Tunic"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_executioner_jerkin","localization/russian/asoiaf_barbershop_l_russian.yml","205","@asoiaf_icon! Executioner's Jerkin & Sword","Executioner's Jerkin & Sword","@asoiaf_icon! Executioner's Jerkin & Sword"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_executioner_jerkin","localization/russian/asoiaf_barbershop_l_russian.yml","206","@asoiaf_icon! Executioner's Jerkin & Sword","Executioner's Jerkin & Sword","@asoiaf_icon! Executioner's Jerkin & Sword"
"PORTRAIT_MODIFIER_custom_cloaks_male_cloaks_asoiaf_lannister_cloak_royal","localization/russian/asoiaf_barbershop_l_russian.yml","218","@asoiaf_icon! Lannister Cloak #weak – Royal#!","Lannister Cloak  – Royal","@asoiaf_icon! Lannister Cloak #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_cloaks_female_cloaks_asoiaf_lannister_cloak_royal","localization/russian/asoiaf_barbershop_l_russian.yml","219","@asoiaf_icon! Lannister Cloak #weak – Royal#!","Lannister Cloak  – Royal","@asoiaf_icon! Lannister Cloak #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_cloaks_male_cloak_secular_asoiaf_lannister_war_plate_2_cloak","localization/russian/asoiaf_barbershop_l_russian.yml","220","@asoiaf_icon! Lannister Cloak #weak – High#!","Lannister Cloak  – High","@asoiaf_icon! Lannister Cloak #weak – High#!"
"PORTRAIT_MODIFIER_custom_cloaks_female_cloak_secular_asoiaf_lannister_war_plate_2_cloak","localization/russian/asoiaf_barbershop_l_russian.yml","221","@asoiaf_icon! Lannister Cloak #weak – High#!","Lannister Cloak  – High","@asoiaf_icon! Lannister Cloak #weak – High#!"
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_asoiaf_lannister_legs_dynast","localization/russian/asoiaf_barbershop_l_russian.yml","250","@asoiaf_icon! Lannister Legwear #weak – Ornate#!","Lannister Legwear  – Ornate","@asoiaf_icon! Lannister Legwear #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_asoiaf_lannister_legs_dynast","localization/russian/asoiaf_barbershop_l_russian.yml","251","@asoiaf_icon! Lannister Legwear #weak – Ornate#!","Lannister Legwear  – Ornate","@asoiaf_icon! Lannister Legwear #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_asoiaf_lannister_legs_light","localization/russian/asoiaf_barbershop_l_russian.yml","252","@asoiaf_icon! Lannister Legwear #weak – Light#!","Lannister Legwear  – Light","@asoiaf_icon! Lannister Legwear #weak – Light#!"
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_asoiaf_lannister_legs_light","localization/russian/asoiaf_barbershop_l_russian.yml","253","@asoiaf_icon! Lannister Legwear #weak – Light#!","Lannister Legwear  – Light","@asoiaf_icon! Lannister Legwear #weak – Light#!"
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_asoiaf_beaked_shoes","localization/russian/asoiaf_barbershop_l_russian.yml","258","@asoiaf_icon! Dornish Beaked Shoes","Dornish Beaked Shoes","@asoiaf_icon! Dornish Beaked Shoes"
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_asoiaf_dorne_sandals","localization/russian/asoiaf_barbershop_l_russian.yml","259","@asoiaf_icon! Dornish Sandals","Dornish Sandals","@asoiaf_icon! Dornish Sandals"
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_asoiaf_executioner_legs","localization/russian/asoiaf_barbershop_l_russian.yml","279","@asoiaf_icon! Executioner's Boots","Executioner's Boots","@asoiaf_icon! Executioner's Boots"
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_asoiaf_executioner_legs","localization/russian/asoiaf_barbershop_l_russian.yml","280","@asoiaf_icon! Executioner's Boots","Executioner's Boots","@asoiaf_icon! Executioner's Boots"
"dlc_asoiaf","localization/russian/asoiaf_dlc_metadata_l_russian.yml","3","AGOT+","AGOT+","AGOT+"
"dlc_asoiaf_desc","localization/russian/asoiaf_dlc_metadata_l_russian.yml","4","AGOT+ дополняет мод-тоталконверсию #italic A Game of Thrones#!, улучшая игровой опыт благодаря доработанным гербам, ДНК, дополнительным атмосферным ивентам, новым 3D-моделям и многому другому.\n\n#help Подсказка DLC будет показывать «DLC не включено», но так и задумано — мод работает корректно.#!","AGOT+ дополняет мод-тоталконверсию  A Game of Thrones, улучшая игровой опыт благодаря доработанным гербам, ДНК, дополнительным атмосферным ивентам, новым 3D-моделям и многому другому.   Подсказка DLC будет показывать «DLC не включено», но так и задумано — мод работает корректно.","AGOT+ modifies the #italic A Game of Thrones#! total conversion mod, brushing up the gameplay experience with improved CoAs, DNAs, additional flavour events, new 3D models, and much more.\n\n#help The DLC tooltip will display ""DLC is not enabled"", but that's intentional and the mod is working as intended.#!"
"game_concept_asoiaf_canon_children_concept_desc","localization/russian/asoiaf_game_concepts_l_russian.yml","4","Система #bold «Каноничные дети»#! позволяет каноническим персонажам динамически становиться родителями во время игры.\n\nКаноничные дети будут рождаться, если доминирующий партнёр заключит брак с нужным Домом. Например, если Эддард Старк женится на #italic любой#! Талли, у него будут рождаться каноничные дети.\n\nСистема использует обычные циклы беременности/родов CK3, поэтому дети #italic не обязательно#! родятся в тот же год, что и в лоре.\n\nУзнать, как продолжить линию персонажа, можно в описании модификатора «Каноничные дети», который получают участники системы.\n\n@warning_icon! #X Не будет работать, если включена система канонических детей из ванильного AGOT.#!","Система  «Каноничные дети» позволяет каноническим персонажам динамически становиться родителями во время игры.  Каноничные дети будут рождаться, если доминирующий партнёр заключит брак с нужным Домом. Например, если Эддард Старк женится на  любой Талли, у него будут рождаться каноничные дети.  Система использует обычные циклы беременности/родов CK3, поэтому дети  не обязательно родятся в тот же год, что и в лоре.  Узнать, как продолжить линию персонажа, можно в описании модификатора «Каноничные дети», который получают участники системы.    Не будет работать, если включена система канонических детей из ванильного AGOT.","The #bold Canon Children#! system allows canon characters to be dynamically born into a game.\n\nCanon children will be born so long as the dominant partner marries into the correct House. E.g., if Eddard Stark marries #italic any#! Tully, his canon children will be born.\n\nThis system uses CK3's regular pregnancy/birth cycle, so children will #italic not#! necessarily be born in the same year as in the lore.\n\nYou can read how to further a character's line by viewing the Canon Children modifier given to characters included in the system.\n\n@warning_icon! #X Will not work with vanilla AGOT's Canon Children system enabled.#!"
"game_rule_category_asoiaf","localization/russian/asoiaf_game_rules_l_russian.yml","4","@asoiaf_icon! AGOT+","AGOT+","@asoiaf_icon! AGOT+"
"setting_asoiaf_sexuality_fix_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","27","Сексуальность персонажей остаётся такой, как в AGOT по умолчанию.","Сексуальность персонажей остаётся такой, как в AGOT по умолчанию.","Character sexualities are kept as AGOT's defaults."
"rule_asoiaf_got_names_rule","localization/russian/asoiaf_game_rules_l_russian.yml","39","@asoiaf_icon! Имена персонажей из GoT","Имена персонажей из GoT","@asoiaf_icon! GoT Character Names"
"rule_asoiaf_hbo_velaryons_rule","localization/russian/asoiaf_game_rules_l_russian.yml","63","@asoiaf_icon! Веларионы HBO","Веларионы HBO","@asoiaf_icon! HBO Velaryons"
"setting_asoiaf_hbo_velaryons_rule_on","localization/russian/asoiaf_game_rules_l_russian.yml","65","#high Веларионы HBO#!","Веларионы HBO","#high HBO Velaryons#!"
"setting_asoiaf_alternative_dayne_sigil_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","75","Дейны сохраняют #bold герб AGOT+ по умолчанию#!: @asoiaf_icon_dayne!","Дейны сохраняют  герб AGOT+ по умолчанию:","Daynes keep their #bold default#! AGOT+ coat of arms: @asoiaf_icon_dayne!"
"setting_asoiaf_canon_children_rule_on_desc","localization/russian/asoiaf_game_rules_l_russian.yml","85","Будут рождаться [asoiaf_canon_children_concept|E].\n@warning_icon! #X Не будет работать, если включена система канонических детей из ванильного AGOT.#!","Будут рождаться .   Не будет работать, если включена система канонических детей из ванильного AGOT.","[asoiaf_canon_children_concept|E] will be born.\n@warning_icon! #X Will not work with vanilla AGOT's Canon Children system enabled.#!"
"setting_asoiaf_canon_children_rule_on_traits_desc","localization/russian/asoiaf_game_rules_l_russian.yml","86","[asoiaf_canon_children_concept|E] будут рождаться с чертами, назначенными при рождении.\n@warning_icon! #X Не будет работать, если включена система канонических детей из ванильного AGOT.#!","будут рождаться с чертами, назначенными при рождении.   Не будет работать, если включена система канонических детей из ванильного AGOT.","[asoiaf_canon_children_concept|E] will be born with their traits given at birth.\n@warning_icon! #X Will not work with vanilla AGOT's Canon Children system enabled.#!"
"setting_asoiaf_canon_children_pregnancy_negation_rule_on_desc","localization/russian/asoiaf_game_rules_l_russian.yml","94","После появления [asoiaf_canon_children_concept|E] новые дети больше не будут рождаться.\n#help (Актуально только при использовании системы [asoiaf_canon_children_concept|E] из AGOT+)#!","После появления  новые дети больше не будут рождаться.  (Актуально только при использовании системы  из AGOT+)","No more children are born after the [asoiaf_canon_children_concept|E].\n#help (Only relevant if using AGOT+'s [asoiaf_canon_children_concept|E] system)#!"
"setting_asoiaf_canon_children_dragon_bonding_rule_on_desc","localization/russian/asoiaf_game_rules_l_russian.yml","102","[asoiaf_canon_children_concept|E] автоматически связываются со своими каноническими драконами.\n#help (Актуально только при использовании системы [asoiaf_canon_children_concept|E] из AGOT+)#!","автоматически связываются со своими каноническими драконами.  (Актуально только при использовании системы  из AGOT+)","[asoiaf_canon_children_concept|E] auto-bond with their canon dragons.\n#help (Only relevant if using AGOT+'s [asoiaf_canon_children_concept|E] system)#!"
"setting_asoiaf_spousal_claims_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","120","Притязания супругов определяются по ванильной логике AGOT.","Притязания супругов определяются по ванильной логике AGOT.","Spousal claims are determined by vanilla AGOT logic."
"setting_asoiaf_mega_war_cleanup_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","137","Правители присоединяются/воздерживаются от мегавойн по ванильной логике AGOT.","Правители присоединяются/воздерживаются от мегавойн по ванильной логике AGOT.","Rulers join/abstain from Mega Wars based on vanilla AGOT logic."
"setting_asoiaf_new_dnas_valyrian_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","155","Валирийцы сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Валирийцы сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Valyrian characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_north_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","163","Персонажи Севера сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи Севера сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","North characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_crownlands_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","171","Персонажи Королевских земель сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи Королевских земель сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Crownlands characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_vale_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","179","Персонажи Долины сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи Долины сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Vale characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
"setting_asoiaf_new_dnas_riverlands_rule_off_desc","localization/russian/asoiaf_game_rules_l_russian.yml","187","Персонажи Речных земель сохраняют #bold стандартную ДНК AGOT#!.\n#help (Нужно выбрать #bold до#! перехода к экрану «Играть за любого правителя»)#!","Персонажи Речных земель сохраняют  стандартную ДНК AGOT.  (Нужно выбрать  до перехода к экрану «Играть за любого правителя»)","Riverlands characters keep their #bold default AGOT DNA#!.\n#help (Must be set #bold before#! entering the 'Play as any Ruler' screen)#!"
