position_id,russian_name,positive_traits_direct,negative_traits_including_shared_health_penalties,conditional_general_bonus,health_helper,base_and_skills,conditions,eligibility,source
warden_of_the_south_court_position,Хранитель Юга,overseer:+25 (только H); just:+10 (только H),,G,,"При H: 5 + 60 + min(2,5 × военное дело; 50); иначе: 5 + min(1,5 × военное дело; 40)","H: liege — владелец h_the_iron_throne, основной титул кандидата — e_the_reach. Без H не начисляются ни +60, ни прямые бонусы свойств. G остаётся в обеих ветках.","Должность владельца Железного трона. Кандидат — его вассал либо придворный; базовый допуск. Для хранителя Востока базовый допуск стоит в is_shown_character, а не valid_character.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:2745
master_at_arms_court_position,Мастер над оружием,lifestyle_hunter:+5/+10/+20,blind:-20; maimed:-15; infirm:-75,G,Н,40 + min(4 × управление; 50),"Охотник: наличие / опыт дорожки hunter ≥50 / ≥100. Это именно управление и охота, а не военное дело и мастерство клинка; необычная формула присутствует в текущем AGOT.",У работодателя нужна innovation_agot_sword_bound; кандидат проходит базовый допуск и не заключён.,E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:2968
court_smith_court_position,Придворный кузнец,strong:+20; athletic:+20; shy:+10; diligent:+15; administrator:+10; physique_good_1:+10; physique_good_2:+20; physique_good_3:+20,maimed:-15; infirm:-75,G,Н,"1 + min(1,5 × управление; 60) + min(1,5 × доблесть; 60)","can_reforge_valyrian_steel — флаг: +100; has_completed_inspiration — факт завершения вдохновения: +30; переменная fund_inspiration_6508_architect_improvement: +5. Три ранга physique проверяются отдельными if, но штатно взаимоисключающие. Прямой бонус ранга 3 равен бонусу ранга 2.","Придворный, не заключён, не супруг работодателя; базовый допуск и отсутствие другой полной занятости. Особого свойства «кузнец» для этих бонусов не требуется.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:3227
head_dragonkeeper_court_position,Главный драконоблюститель,,maimed:-15; infirm:-75,—,Н,"1 + min(1,15 × учёность; 50) + min(1,15 × управление; 50) + min(1,25 × доблесть; 50)","Эффективное определение — More Dragon Eggs. Прямых положительных проверок личных свойств нет. Модификатор династии valyrian_heritage_dynasty_modifier: +10; язык language_agot_valyrian: +5; удобства драконьего логова при королевском дворе уровня 3: +5, ≥4: +10. Родство при close_family_better_court_positions: +20. Верхний порог пригодности — 90, а не 80. G отсутствует.",Придворный без земель и заключения; базовый допуск и отсутствие другой полной занятости. Нужны активное драконье логово либо подходящие постройка и параметр лагеря из MDE. Свойство драконьего всадника не требуется.,E:/SteamLibrary/steamapps/workshop/content/1158310/3388366564/common/court_positions/types/00_mde_court_position_override.txt:1
bloodrider_court_position,Кровный всадник,lifestyle_blademaster:+5/+10/+15; gallant:+5; brave:+20; paranoid:+10,craven:-100; disloyal:-100; maimed:-75; wounded_3:-50 ИЛИ wounded_2:-25; blind:-150; infirm:-175,G×2,В,1 + min(4 × доблесть; 50),"Мастерство клинка: наличие / опыт ≥50 / ≥100. Друг работодателя: +15, лучший друг: +30 (одна ветка). best_knight_position: +20; competing_knight_position: +30; бонус champion из событий. G вызван ДВАЖДЫ, отдельно вызван boon_voyager: последнее слагаемое при выполненных условиях учитывается в сумме трижды. После В суммарные штрафы: maimed −75, blind −150, infirm −175.","Мужчина-придворный без земель, не супруг и не наследник/близкий претендент; военная служба по правилам пола, базовый допуск и отсутствие другой полной занятости. blind, infirm и disloyal дополнительно запрещают назначение. Вера кандидата и работодателя должна разрешать кровных всадников.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:3880
first_sword_court_position,Первый Меч Браавоса,shieldmaiden:+20; lifestyle_blademaster:+5/+10/+15; brave:+20; paranoid:+10,craven:-15; maimed:-25; blind:-50; infirm:-75,G,В,1 + min(5 × доблесть; 50),"Мастерство клинка: наличие / опыт ≥50 / ≥100. reduced_bodyguard_aptitude у культуры работодателя: −10; best_knight_position: +20; praetorian_guard_perk кандидата и сюзерена: по +15. Есть бонусы поместья и переменной bodyguard. boon_voyager вызывается отдельно и через G, поэтому при выполненных условиях учитывается дважды.","У работодателя основной титул k_braavos. Кандидат — придворный, допускаемый к военной службе; базовый допуск и отсутствие другой полной занятости.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:4224
grey_cloaks_commander_court_position,Командующий Брусчатовой стражей,loyal:+15; overseer:+10; brave:+5; diligent:+5; just:+5,greedy:-5; trusting:-5; craven:-10; deceitful:-10; disloyal:-15,G,,"25 + min(1,5 × военное дело; 25) + min(1,5 × дипломатия; 25)",Формулы Брусчатовой стражи и Алых плащей совпадают.,"Должность владельца c_oldtown. Придворный с базовым допуском и правом военной службы. kingsguard, maester, septon запрещают назначение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:4559
crimson_cloaks_commander_court_position,Командующий Алых плащей,loyal:+15; overseer:+10; brave:+5; diligent:+5; just:+5,greedy:-5; trusting:-5; craven:-10; deceitful:-10; disloyal:-15,G,,"25 + min(1,5 × военное дело; 25) + min(1,5 × дипломатия; 25)",Формулы Брусчатовой стражи и Алых плащей совпадают.,"Должность владельца c_lannisport. Придворный с базовым допуском и правом военной службы. kingsguard, maester, septon запрещают назначение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:4844
white_knife_court_position,Хранитель Белого Ножа,overseer:+25 (только H); just:+10 (только H),,G,,"При H: 5 + 30 + min(2,5 × военное дело; 50); иначе только 5 (до G)","H: liege владеет e_the_north либо k_winterfell; кандидат владеет d_white_harbor. Без H отсутствуют и военное слагаемое, и бонусы свойств: запасной ветки else нет.","Работодатель владеет e_the_north; кандидат должен держать k_the_white_knife, d_white_harbor либо d_keystone и проходить базовый допуск. Этот список шире титула, дающего H.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:5129
stone_way_court_position,Хранитель Каменного пути,overseer:+25; brave:+15; diligent:+10; stubborn:+10; patient:+10; just:+10,craven:-20; trusting:-10,G,,"15 + min(2,5 × военное дело; 50); при H ещё +30",H: liege владеет e_dorne либо k_the_greenblood; основной титул кандидата — k_yronwood. Бонусы свойств и военного дела начисляются и без H.,"Работодатель владеет e_dorne; кандидат держит один из k_yronwood / d_the_stoneway / d_greenbelt, не заключён и проходит базовый допуск.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:5407
princes_pass_court_position,Хранитель Принцева перевала,overseer:+25; brave:+15; diligent:+10; stubborn:+10; patient:+10; just:+10,craven:-20; trusting:-10,G,,"15 + min(2,5 × военное дело; 50); при H ещё +30",H: liege владеет e_dorne либо k_the_greenblood; основной титул кандидата — d_the_princes_pass. Бонусы свойств и военного дела начисляются и без H.,"Работодатель владеет e_dorne; кандидат держит один из k_the_red_mountains / d_the_princes_pass / d_redmarch, не заключён и проходит базовый допуск.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:5739
lorath_harvest_prince_court_position,Князь Урожая,,,—,,"40, фиксированное значение","Нет ни проверки навыков, ни бонусов/штрафов за свойства, ни G. При стандартных порогах это средняя, а не максимальная пригодность.",Должность владельца k_lorath; показ кандидата зависит от d_harvest_principality. В valid_character стоит domain_size < 1.,E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:6071
lorath_fisher_prince_court_position,Князь Рыбаков,,,—,,"40, фиксированное значение","Нет ни проверки навыков, ни бонусов/штрафов за свойства, ни G. При стандартных порогах это средняя, а не максимальная пригодность.",Должность владельца k_lorath; показ кандидата зависит от d_fisher_principality. В valid_character снова проверяется этот титул.,E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:6158
lorath_prince_of_streets_court_position,Князь Улиц,,,—,,"40, фиксированное значение","Нет ни проверки навыков, ни бонусов/штрафов за свойства, ни G. При стандартных порогах это средняя, а не максимальная пригодность.",Должность владельца k_lorath; показ кандидата зависит от d_principality_of_the_streets. В valid_character снова проверяется этот титул.,E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions.txt:6245
goldcloaks_court_position,Командующий Городской стражей,administrator:+20; overseer:+20,,G,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",,"Должность владельца c_kings_landing. Кандидат связан с b_goldguard_heights: владелец либо безземельный подчинённый соответствующей иерархии; право военной службы. Базовый допуск; kingsguard, maester и septon запрещают назначение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions_crownlands.txt:23
sea_watch_commander_court_position,Командующий морской стражей,"loyal:+15; overseer:+10; brave:+5; diligent:+5; just:+5; lifestyle_mariner:+10 при опыте ≤50, иначе +20",greedy:-5; trusting:-5; craven:-10; deceitful:-10; disloyal:-15,—,,"25 + min(1,5 × военное дело; 25) + min(1,5 × дипломатия; 25)","В отличие от двух городских страж добавлен мореход, но G отсутствует.","Должность владельца h_the_iron_throne; придворный с правом военной службы. Базовый допуск; kingsguard, maester и septon запрещают назначение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions_crownlands.txt:195
royal_counter_court_position,Королевский счетовод,administrator:+15; avaricious:+10; overseer:+10; diligent:+5; honest:+5; greedy:+10,temperate:-5; generous:-10; lazy:-10; deceitful:-5,G,,25 + min(2 × управление; 50),Жадность и алчность дают разные бонусы и могут учитываться вместе. Сдержанность здесь прямо штрафуется.,"Должность владельца h_the_iron_throne; придворный. Базовый допуск; kingsguard, maester и septon запрещают назначение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions_crownlands.txt:502
royal_scales_court_position,Королевский хранитель весов,administrator:+20; overseer:+20; diligent:+10,lazy:-10,G,,"25 + min(1,75 × управление; 50) + min(1,5 × дипломатия; 25)",,"Должность владельца h_the_iron_throne; придворный. Базовый допуск; kingsguard, maester и septon запрещают назначение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions_crownlands.txt:772
royal_mint_officer_court_position,Хранитель королевского монетного двора,administrator:+20; overseer:+20; diligent:+10,lazy:-10,G,,25 + min(2 × управление; 50),,"Работодатель владеет c_kings_landing/c_oldtown/c_lannisport и подчинён верховному владельцу h_the_iron_throne; кандидат — придворный. Базовый допуск; kingsguard, maester и septon запрещают назначение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions_crownlands.txt:999
keeper_of_keys_court_position,Хранитель ключей,administrator:+30; loyal:+20; family_first:+20; overseer:+15; diligent:+15,lazy:-10; deceitful:-10; eccentric:-10,G,,"25 + min(2,5 × управление; 50)",,"Должность владельца h_the_iron_throne; придворный. Базовый допуск; kingsguard, maester и septon запрещают назначение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions_crownlands.txt:1236
high_reeve_court_position,Верховный рив,diplomat:+20; overseer:+20; diligent:+10; scholar:+10; just:+15; patient:+5,greedy:-5; sadistic:-5; trusting:-5; lazy:-10,G,,"25 + min(1,75 × дипломатия; 25) + min(1,75 × учёность; 25)",,"Должность владельца h_the_iron_throne; придворный. Базовый допуск; kingsguard, maester и septon запрещают назначение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions_crownlands.txt:1502
justiciar_court_position,Юстициарий,diplomat:+20; brave:+15; diligent:+10; just:+15; patient:+5,greedy:-5; sadistic:-5; trusting:-5; lazy:-10; disloyal:-10,G,,"25 + min(1,5 × дипломатия; 25) + min(1,5 × доблесть; 25)","У brave ошибочная подпись desc = court_position_overseer_trait. Прямой бонус даёт brave, а не overseer.","Должность владельца h_the_iron_throne; придворный либо подходящий вассал владельца c_kings_landing рангом выше барона и не выше герцога; право военной службы. Базовый допуск; kingsguard, maester и septon запрещают назначение.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_agot_court_positions_crownlands.txt:1782
nw_septon,Септон Ночного Дозора,zealous:+20; compassionate:+20,,—,,"25 + min(2,5 × учёность; 50)","Отдельная от придворного септона формула: нет G, общего штрафа за здоровье, бонусов щедрости и devoted.","Мужчина, взрослый, nightswatch и septon; базовый допуск. Должность доступна правителю Ночного Дозора с ограничением безземельного статуса работодателя.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:3
b_the_shadow_tower_keeper,Командующий Сумеречной Башни,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:130
b_eastwatch_by_the_sea_keeper,Командующий Восточного Дозора-у-Моря,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:318
b_the_nightfort_keeper,Командующий Твердыни Ночи,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:506
b_icemark_keeper,Командующий Ледового Порога,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:695
b_deep_lake_keeper,Командующий Глубокого Озера,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:884
b_queensgate_keeper,Командующий Врат Королевы,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:1073
b_oakenshield_keeper,Командующий Дубового Щита,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:1262
b_woodswatch_by_the_pool_keeper,Командующий Лесного Дозора-у-Пруда,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:1451
b_westwatch_by_the_bridge_keeper,Командующий Западного Дозора-у-Моста,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:1640
b_sentinel_stand_keeper,Командующий Сторожевой Вышки,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:1829
b_greyguard_keeper,Командующий Серого Стража,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:2018
b_stonedoor_keeper,Командующий Каменной Двери,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:2207
b_hoarfrost_hill_keeper,Командующий Морозного Холма,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:2396
b_sable_hall_keeper,Командующий Собольего замка,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:2585
b_rimegate_keeper,Командующий Инистых Врат,administrator:+20; overseer:+20,,—,,"25 + min(1,25 × управление; 25) + min(1,25 × военное дело; 25)",У всех 18 командующих формула одинакова; нет G и общего штрафа за здоровье.,"Мужчина, взрослый, nightswatch; maester и septon запрещены. Безземельный либо владелец соответствующего замка/графства. Базовый допуск; не владелец d_nw_landless_first_ranger. Доступность у работодателя связана с Ночным Дозором и конкретным замком.",E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/01_agot_nights_watch_positions.txt:2774
