Key,Status,Before,After,English,InCurrentEnglish,DefinedByPatch,PatchText,PreviousFile,CurrentFile
agot_dragon_hatching.0403.opt.a.tt,added,,Все драконы без всадников будут перемещены в ваш загон для драконов.,All unbonded dragons will be moved into your dragoncoop.,True,True,"Всех драконов, не связанных с наездниками, переместят в ваш загон для драконов.",,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_hatching.0403.opt.b,added,,Восстановить драконоблюстителей на Драконьей горе и держать драконов там.,"Restore the Dragonkeepers in the Dragonmont, and hold the dragons there.",True,True,Восстановить орден драконоблюстителей на Драконьей горе и содержать драконов там.,,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_hatching.0403.opt.b.tt,added,,"Драконья гора снова станет действующей драконьей ямой, и туда будут помещены все драконы без всадников.","The Dragonmont will become active again, and all unbonded dragons will be pitted there.",True,True,"Драконья гора вновь начнёт действовать как логово, и туда поместят всех драконов, не связанных с наездниками.",,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_hatching.0403.opt.c,added,,"Восстановить драконоблюстителей на Драконьей горе, но оставить драконов здесь, со мной.","Restore the Dragonkeepers in the Dragonmont, but hold the dragons here with me.",True,True,"Восстановить орден драконоблюстителей на Драконьей горе, но оставить драконов здесь, при мне.",,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_hatching.0403.opt.c.tt,added,,"Драконья гора снова станет действующей драконьей ямой, но все драконы без всадников будут помещены в драконью яму вашей столицы.","The Dragonmont will become active again, but all unbonded dragons will be pitted in the dragonpit of your capital.",True,True,"Драконья гора вновь начнёт действовать как логово, но всех драконов, не связанных с наездниками, поместят в логово вашей столицы.",,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_hatching.0403.opt.d,added,,"Драконы останутся здесь, в моей драконьей яме.",The dragons will be housed here in my dragonpit.,True,True,"Драконы останутся здесь, в моём логове.",,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_hatching.0403.opt.d.tt,added,,Все драконы без всадников будут помещены в драконью яму вашей столицы.,All unbonded dragons will be pitted in the dragonpit of your capital.,True,True,"Всех драконов, не связанных с наездниками, поместят в логово вашей столицы.",,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_hatching.0403.opt.e,added,,Драконы — не рабы. Пусть бродят где пожелают.,"A dragon is not a slave, let them roam as they please.",True,True,Дракон — не раб. Пусть летает где пожелает.,,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_hatching.0403.opt.e.tt,added,,Все драконы без всадников останутся вне драконьих ям.\n#X После вашей смерти они могут одичать!#,All unbonded dragons will be left unpitted.\n#X These dragons can become wild upon your death!#,True,True,"Все драконы, не связанные с наездниками, останутся вне логов.\n#X После вашей смерти эти драконы могут одичать!#!",,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_hatching.0403.t,added,,Стая драконов,A Flock of Dragons,True,True,Стая драконов,,localization/russian/more_dragon_eggs_events_l_russian.yml
agot_dragon_maintenance.0804.a,removed,Показать драконьи яйца,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0804.desc,removed,Владельцы драконьих яиц:,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0804.desc_no_eggs,removed,Драконьих яиц не обнаружено.,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0804.t,removed,Показать драконьи яйца,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0805.a,removed,Показать жизнеспособные драконьи яйца,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0805.desc,removed,Владельцы жизнеспособных драконьих яиц:,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0805.t,removed,Показать жизнеспособные драконьи яйца,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0806.a,removed,Показать порченые драконьи яйца,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0806.desc,removed,Владельцы порченых драконьих яиц:,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0806.t,removed,Показать порченые драконьи яйца,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0807.a,removed,"Посмотреть всех [Concept('dragons_plural', 'драконов')|E] в выбранной [Concept('dragonpit', 'драконьей яме')|E]",,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0807.b,removed,Отменить,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0807.desc,removed,,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0807.t,removed,Показать действующие драконьи ямы,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0808.a,removed,Показать носителей крови дракона,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0808.desc,removed,,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_dragon_maintenance.0808.t,removed,Показать носителей крови дракона,,,False,False,,localization/russian/more_dragon_eggs_events_l_russian.yml,
agot_filler_crownlands.0004.tt,changed,"Вы получили [Concept('artifact', 'артефакт')|E]: драконье яйцо",Вы получили драконье яйцо ([artifact|E]),You gained a Dragon Egg [artifact|E],True,True,"Вы получили [Concept('artifact', 'артефакт')|E]: драконье яйцо",localization/russian/more_dragon_eggs_events_l_russian.yml,localization/russian/more_dragon_eggs_events_l_russian.yml
anogaros_desc,added,,Аногарос,Anogaros,True,True,Аногарос,,localization/russian/mde_artifacts_l_russian.yml
archonei_desc,added,,Архоней,Archonei,True,True,Архоней,,localization/russian/mde_artifacts_l_russian.yml
arrax_desc,added,,Арракс,Arrax,True,True,Арракс,,localization/russian/mde_artifacts_l_russian.yml
artifact_market_button_manager_text,added,,Показать или скрыть кнопку рынка артефактов,Toggle Artifact Market Button,True,True,Показать или скрыть кнопку рынка артефактов,,localization/russian/more_dragon_eggs_ui_l_russian.yml
balerion_desc,added,,Балерион,Balerion,True,True,Балерион,,localization/russian/mde_artifacts_l_russian.yml
buttons_toggle,added,,Кнопки,Buttons,True,True,Кнопки,,localization/russian/more_dragon_eggs_ui_l_russian.yml
cannibal_desc,added,,Каннибал,Cannibal,True,True,Каннибал,,localization/russian/mde_artifacts_l_russian.yml
caraxes_desc,added,,Караксес,Caraxes,True,True,Караксес,,localization/russian/mde_artifacts_l_russian.yml
choose_dragonblood,removed,Кровь дракона,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
choose_dragonblood_desc,removed,Показать список всех носителей крови дракона.,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
d_dornish_islands,removed,Дорнийские острова,,,False,False,,localization/russian/more_dragon_eggs_titles_l_russian.yml,
d_dornish_islands_adj,removed,Дорнийско-островск,,,False,False,,localization/russian/more_dragon_eggs_titles_l_russian.yml,
daenerys_1_desc,added,,Харакс,Hurax,True,True,Харакс,,localization/russian/mde_artifacts_l_russian.yml
decision_group_type_more_eggs,removed,@dragon_destined_icon! Дополнительные драконьи яйца,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
delete_duds_decision,removed,Удалить порченые яйца,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
delete_duds_decision_confirm,removed,Удалить,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
delete_duds_decision_desc,removed,Удалить все порченые драконьи яйца.,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
demanded_egg_interaction,removed,"[actor.GetTitledFirstNameNoTooltip] требует передать [target.GetName] — ваш [Concept('artifact', 'артефакт')|E]",,,False,False,,localization/russian/mde_demand_egg_events_l_russian.yml,
dragon_ancestor_1_desc,added,,Вейдар,Vaedar,True,True,Вейдар,,localization/russian/mde_artifacts_l_russian.yml
dragon_ancestor_2_desc,added,,Везойес,Vezojaes,True,True,Везойес,,localization/russian/mde_artifacts_l_russian.yml
dragon_ancestor_3_desc,added,,Фалкейль,Falkael,True,True,Фалкейль,,localization/russian/mde_artifacts_l_russian.yml
dragon_ancestor_4_desc,added,,Пельдион,Peldion,True,True,Пельдион,,localization/russian/mde_artifacts_l_russian.yml
dragon_ancestor_5_desc,added,,Волон,Volon,True,True,Волон,,localization/russian/mde_artifacts_l_russian.yml
dragon_ancestor_6_desc,added,,Теларион,Telarion,True,True,Теларион,,localization/russian/mde_artifacts_l_russian.yml
dragon_coop_01_domicile_building,added,,Загон для драконов,Dragoncoop,True,True,Загон для драконов,,localization/russian/mde_domicile_buildings_l_russian.yml
dragon_coop_01_domicile_building_desc,added,,Здесь авантюристы могут содержать своих драконов.,This is where adventurers can store their dragons.,True,True,Здесь искатели приключений могут содержать своих драконов.,,localization/russian/mde_domicile_buildings_l_russian.yml
dragon_egg_alive_or_dead,added,,"[AddLocalizationIf(GetScriptedGui('mde_egg_is_dud').IsShown( GuiScope.SetRoot( GetPlayer.MakeScope ).AddScope( 'this_egg', Artifact.MakeScope ).End ), 'dragon_egg_dud')]Драконье яйцо","[AddLocalizationIf(GetScriptedGui('mde_egg_is_dud').IsShown( GuiScope.SetRoot( GetPlayer.MakeScope ).AddScope( 'this_egg', Artifact.MakeScope ).End ), 'dragon_egg_dud')]Dragon Egg",True,True,"Драконье яйцо[AddLocalizationIf(GetScriptedGui('mde_egg_is_dud').IsShown( GuiScope.SetRoot( GetPlayer.MakeScope ).AddScope( 'this_egg', Artifact.MakeScope ).End ), 'dragon_egg_dud')]",,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_dud,added,,Окаменевшее ,Petrified ,True,True, (окаменевшее),,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_embryo_desc,added,,[Artifact.Custom('mde_dragon_embryo_name')],[Artifact.Custom('mde_dragon_embryo_name')],True,True,[Artifact.Custom('mde_dragon_embryo_name')],,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_laena_1_desc,added,,[newly_created_artifact.GetDesc]\n\nИз этого яйца вылупится Ловец Звёзд.,[newly_created_artifact.GetDesc]\n\nThis egg will hatch Starhunter.,True,True,[newly_created_artifact.GetDesc]\n\nИз этого яйца вылупится Ловец Звёзд.,,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_maegor_12_desc,added,,[newly_created_artifact.GetDesc]\n\nИз этого яйца вылупится Серая хворь.,[newly_created_artifact.GetDesc]\n\nThis egg will hatch Greyscale.,True,True,[newly_created_artifact.GetDesc]\n\nИз этого яйца вылупится $Greyscale$.,,localization/russian/mde_artifacts_l_russian.yml
dragon_pen_01_domicile_building,removed,Загон для драконов,,,False,False,,localization/russian/dp_domicile_buildings_l_russian.yml,
dragon_pen_01_domicile_building_desc,removed,Здесь авантюристы могут держать своих драконов.,,,False,False,,localization/russian/dp_domicile_buildings_l_russian.yml,
dragon_portrait_toggle,added,,Портрет дракона,Dragon Portrait,True,True,Портрет дракона,,localization/russian/more_dragon_eggs_ui_l_russian.yml
dragon_viewer.t,added,,Все живые драконы,All Living Dragons,True,True,Все живые драконы,,localization/russian/more_dragon_eggs_ui_l_russian.yml
dragonblood_button_manager_text,added,,Показать или скрыть кнопку носителей крови дракона,Toggle Dragonblood Button,True,True,Показать или скрыть кнопку драконьей крови,,localization/russian/more_dragon_eggs_ui_l_russian.yml
dragonblood_viewer.t,added,,Все носители крови дракона,All Dragonblooded,True,True,Все носители драконьей крови,,localization/russian/more_dragon_eggs_ui_l_russian.yml
dragonpit_ruler_law_effects,changed,"[Concept('dragons_plural', 'Драконы')|E] в вашей [Concept('dragonpit', 'драконьей яме')|E] доступны только тем, кому вы дали разрешение.","[dragons_plural|E] в вашей [dragonpit|e] доступны только тем, кому вы дали явное разрешение.",[dragons_plural|E] in your [dragonpit|e] can only be accessed by those you've given express permission to.,True,True,"[Concept('dragons_plural', 'Драконы')|E] в вашей [Concept('dragonpit', 'драконьей яме')|E] доступны только тем, кому вы дали разрешение.",localization/russian/more_dragon_eggs_realm_laws_l_russian.yml,localization/russian/more_dragon_eggs_realm_laws_l_russian.yml
dragonpit_type,added,,#italic [Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')] #!,#italic [Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')] #!,True,True,#italic [Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')] #!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
dragonpit_type_landless,added,,#italic $dragon_coop_01_domicile_building$ #!,#italic $dragon_coop_01_domicile_building$ #!,True,True,#italic $dragon_coop_01_domicile_building$ #!,,localization/russian/more_dragon_eggs_ui_l_russian.yml
dragonpits_single_viewer.t,added,,[GetPlayer.MakeScope.Var('viewing_county').Title.GetNameNoTier]: [GetPlayer.MakeScope.Var('viewing_county').Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')],The [GetPlayer.MakeScope.Var('viewing_county').Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')] of [GetPlayer.MakeScope.Var('viewing_county').Title.GetNameNoTier],True,True,[GetPlayer.MakeScope.Var('viewing_county').Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')] — [GetPlayer.MakeScope.Var('viewing_county').Title.GetNameNoTier],,localization/russian/more_dragon_eggs_ui_l_russian.yml
dragonpits_single_viewer_landless.t,added,,Загон для драконов: [GetPlayer.MakeScope.Var('viewing_county').Title.GetNameNoTier],The Dragoncoop of [GetPlayer.MakeScope.Var('viewing_county').Title.GetNameNoTier],True,True,Загон для драконов — [GetPlayer.MakeScope.Var('viewing_county').Title.GetNameNoTier],,localization/russian/more_dragon_eggs_ui_l_russian.yml
dragonpits_viewer.t,added,,Все драконьи ямы,All Dragonpits,True,True,Все драконьи логова,,localization/russian/more_dragon_eggs_ui_l_russian.yml
dreamfyre_desc,added,,Пламенная Мечта,Dreamfyre,True,True,Пламенная Мечта,,localization/russian/mde_artifacts_l_russian.yml
drogon_desc,added,,Дрогон,Drogon,True,True,Дрогон,,localization/russian/mde_artifacts_l_russian.yml
egg_found,added,,Найдено,Found,True,True,Найдено,,localization/russian/more_dragon_eggs_ui_l_russian.yml
egg_viewer.t,added,,Все драконьи яйца,All Dragon Eggs,True,True,Все драконьи яйца,,localization/russian/more_dragon_eggs_ui_l_russian.yml
essovius_desc,added,,Эссовиус,Essovius,True,True,Эссовиус,,localization/russian/mde_artifacts_l_russian.yml
establish_dragon_wives,removed,Учредить драконьих жён,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
establish_dragon_wives_confirm,removed,Готово!,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
establish_dragon_wives_desc,removed,Заглушка для будущего особого типа брака всадников драконов.,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
game_rule_toggle,added,,Игровые правила,Game Rules,True,True,Правила игры,,localization/russian/more_dragon_eggs_ui_l_russian.yml
ghiscar_desc,added,,Гискар,Ghiscar,True,True,Гискар,,localization/russian/mde_artifacts_l_russian.yml
grey_ghost_desc,added,,Серый Призрак,Grey Ghost,True,True,Серый Призрак,,localization/russian/mde_artifacts_l_russian.yml
hide_dragon_portrait_decision,removed,Скрыть портрет дракона,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
hide_dragon_portrait_decision_confirm,removed,Скрыть портрет,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
hide_dragon_portrait_decision_desc,removed,"Скрывает портрет вашего дракона в левом нижнем углу экрана. Примечание: портреты не появляются, пока размер дракона меньше 3; если вы их не видите, причина может быть в этом.",,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
k_the_sapphire_islands,removed,Сапфировые острова,,,False,False,,localization/russian/more_dragon_eggs_titles_l_russian.yml,
k_the_sapphire_islands_adj,removed,Сапфирово-островск,,,False,False,,localization/russian/more_dragon_eggs_titles_l_russian.yml,
maegor_10_desc,added,,Высокий Огонь,Tallfyre,True,True,Высокий Огонь,,localization/russian/mde_artifacts_l_russian.yml
maegor_11_desc,added,,Зувдар,Zuvdar,True,True,Зувдар,,localization/russian/mde_artifacts_l_russian.yml
maegor_12_desc,added,,Серая хворь,Greyscale,True,True,$Greyscale$,,localization/russian/mde_artifacts_l_russian.yml
maegor_2_desc,added,,Лоркан,Lorcan,True,True,Лоркан,,localization/russian/mde_artifacts_l_russian.yml
maegor_3_desc,added,,Орион,Orion,True,True,Орион,,localization/russian/mde_artifacts_l_russian.yml
maegor_4_desc,added,,Чёрное Пламя,Blackfyre,True,True,Чёрное Пламя,,localization/russian/mde_artifacts_l_russian.yml
maegor_5_desc,added,,Риакс,Ryax,True,True,Риакс,,localization/russian/mde_artifacts_l_russian.yml
maegor_6_desc,added,,Моргон,Morghon,True,True,Моргон,,localization/russian/mde_artifacts_l_russian.yml
maegor_7_desc,added,,Ликакс,Lykax,True,True,Ликакс,,localization/russian/mde_artifacts_l_russian.yml
maegor_8_desc,added,,Малракс,Malrax,True,True,Малракс,,localization/russian/mde_artifacts_l_russian.yml
maegor_9_desc,added,,Спиракс,Spyrax,True,True,Спиракс,,localization/russian/mde_artifacts_l_russian.yml
manage_buttons_decision,removed,Настроить кнопки,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
manage_buttons_decision_confirm,removed,Открыть меню,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
manage_buttons_decision_desc,removed,Открывает меню настройки видимости интерфейсных кнопок.,,,False,False,,localization/russian/more_dragon_eggs_decisions_l_russian.yml,
mde_dragon_animation_idle_tt,added,,#T Покой#!\nУстановить анимацию покоя дракона.,#T Idle#!\nSet animation to dragon idle.,True,True,#T Покой#!\nВключить анимацию спокойного дракона.,,localization/russian/more_dragon_eggs_ui_l_russian.yml
mde_dragon_animation_roar_fire_tt,added,,#T Огненный рёв#!\nУстановить анимацию огненного рёва дракона.,#T Fire#!\nSet animation to dragon roar fire.,True,True,"#T Пламя#!\nВключить анимацию дракона, изрыгающего пламя.",,localization/russian/more_dragon_eggs_ui_l_russian.yml
mde_dragon_animation_roar_tt,added,,#T Рёв#!\nУстановить анимацию рыка дракона. Недоступно для детёнышей.,#T Roar#!\nSet animation to dragon roar. Not available for baby dragons.,True,True,#T Рёв#!\nВключить анимацию драконьего рёва. Недоступно для драконят.,,localization/russian/more_dragon_eggs_ui_l_russian.yml
mde_dragon_contains_embryo,added,,Внутри находится дракон #italic [ROOT.Artifact.Custom('mde_dragon_embryo_name')]#!.,It contains the dragon #italic [ROOT.Artifact.Custom('mde_dragon_embryo_name')]#!.,True,True,Внутри — дракон по имени #italic [ROOT.Artifact.Custom('mde_dragon_embryo_name')]#!.,,localization/russian/mde_artifacts_l_russian.yml
mde_dragon_contains_embryo_builder,added,,[newly_created_artifact.GetDesc] [newly_created_artifact.Custom('mde_dragon_embryo_line')],[newly_created_artifact.GetDesc] [newly_created_artifact.Custom('mde_dragon_embryo_line')],True,True,[newly_created_artifact.GetDesc] [newly_created_artifact.Custom('mde_dragon_embryo_line')],,localization/russian/mde_artifacts_l_russian.yml
