"Key","MainFile","MainLine","TranslationFile","TranslationLine","English","Russian","BuiltinRussian"
"artifact_seafoam_description","localization/english/artifacts/lotd_artifacts_l_english.yml","8","localization/russian/lotd_artifacts_l_russian.yml","8","Seafoam is the iconic hand-and-a-half sabre of Valyrian steel that belongs to House Valeryon.","Морская Пена — прославленная полутораручная сабля из валирийской стали, родовая реликвия Дома Веларионов.",
"artifact_seafoam_name","localization/english/artifacts/lotd_artifacts_l_english.yml","7","localization/russian/lotd_artifacts_l_russian.yml","7","Seafoam","Морская Пена",
"artifact_subterfuge","localization/english/artifacts/lotd_artifacts_l_english.yml","33","localization/russian/lotd_artifacts_l_russian.yml","33","Subterfuge","Коварство",
"artifact_subterfuge_description","localization/english/artifacts/lotd_artifacts_l_english.yml","14","localization/russian/lotd_artifacts_l_russian.yml","14","Subterfuge is the insidious Valyrian steel dagger that belongs to House Qoherys. It is said the dagger has been involved in the rise and fall of many rulers of Old Valyria.","Коварство — зловещий кинжал из валирийской стали, родовая реликвия Дома Квохерисов. Говорят, этот клинок был причастен к возвышению и падению многих владык Старой Валирии.",
"artifact_subterfuge_name","localization/english/artifacts/lotd_artifacts_l_english.yml","13","localization/russian/lotd_artifacts_l_russian.yml","13","Subterfuge","Коварство",
"artifact_valyrian_mask","localization/english/artifacts/lotd_artifacts_l_english.yml","59","localization/russian/lotd_artifacts_l_russian.yml","57","Valyrian Mask","Валирийская маска",
"artifact_viserys_mask_desc","localization/english/artifacts/lotd_artifacts_l_english.yml","38","localization/russian/lotd_artifacts_l_russian.yml","38","The golden mask that was once worn by Viserys I during the later years of his life. The mask represents the wealth of House Targaryen and also serves as a reminder of a time before the Dance...","Золотая маска, которую Визерис I носил в последние годы жизни. Она символизирует богатство Дома Таргариенов и напоминает об эпохе до Танца драконов...",
"artifact_viserys_mask_name","localization/english/artifacts/lotd_artifacts_l_english.yml","36","localization/russian/lotd_artifacts_l_russian.yml","36","Mask of Viserys I Targaryen","Маска Визериса I Таргариена",
"artifact_viserys_mask_requirements","localization/english/artifacts/lotd_artifacts_l_english.yml","37","localization/russian/lotd_artifacts_l_russian.yml","37","Only rulers with a physical affliction may wear this mask.","Эту маску могут носить только правители с телесными недугами.",
"blackfyre_poses_list","localization/english/lotd_poses_l_english.yml","5","localization/russian/lotd_poses_l_russian.yml","5","Blackfyre","Чёрное Пламя",
"buy_facemask.0001.a","localization/english/event_localization/buy_valyrian_mask_l_english.yml","2","localization/russian/buy_valyrian_mask_l_russian.yml","2","Gather me any remaining #BOLD;COLOR:{0.50,0.50,0.50} Valyrian Steel#!!","Соберите для меня всю оставшуюся #BOLD;COLOR:{0.50,0.50,0.50} валирийскую сталь#!!",
"buy_facemask.0001.b","localization/english/event_localization/buy_valyrian_mask_l_english.yml","3","localization/russian/buy_valyrian_mask_l_russian.yml","3","Get me a #BOLD;COLOR:{1.00,0.83,0.00} Golden#! mask...","Принесите мне маску из #BOLD;COLOR:{1.00,0.83,0.00} золота#!...",
"buy_facemask.0001.c","localization/english/event_localization/buy_valyrian_mask_l_english.yml","4","localization/russian/buy_valyrian_mask_l_russian.yml","4","Something made of #BOLD;COLOR:{0.42,0.32,0.11} Bronze#! will suffice...","Что-нибудь из #BOLD;COLOR:{0.42,0.32,0.11} бронзы#! сгодится...",
"buy_facemask.0001.d","localization/english/event_localization/buy_valyrian_mask_l_english.yml","5","localization/russian/buy_valyrian_mask_l_russian.yml","5","A mask made of #BOLD;COLOR:{0.22,0.22,0.22} Blackened Steel#! is what I want!","Маска из #BOLD;COLOR:{0.22,0.22,0.22} чернёной стали#! — вот что мне нужно!",
"buy_facemask.0001.e","localization/english/event_localization/buy_valyrian_mask_l_english.yml","6","localization/russian/buy_valyrian_mask_l_russian.yml","6","A simple #BOLD;COLOR:{0.75,0.75,0.75} Silver#! mask will do.","Простая #BOLD;COLOR:{0.75,0.75,0.75} серебряная#! маска подойдёт.",
"buy_facemask.0001.f","localization/english/event_localization/buy_valyrian_mask_l_english.yml","7","localization/russian/buy_valyrian_mask_l_russian.yml","7","Perhaps another time...","В другой раз...",
"buy_facemask.0002.a","localization/english/event_localization/buy_valyrian_mask_l_english.yml","15","localization/russian/buy_valyrian_mask_l_russian.yml","15","I can show my face again in court!","Я снова могу показаться двору!",
"buy_facemask_decision","localization/english/event_localization/buy_valyrian_mask_l_english.yml","17","localization/russian/buy_valyrian_mask_l_russian.yml","17","Purchase Valyrian Facemask","Приобрести валирийскую маску",
"buy_facemask_decision_confirm","localization/english/event_localization/buy_valyrian_mask_l_english.yml","18","localization/russian/buy_valyrian_mask_l_russian.yml","18","Purchase Valyrian Facemask","Приобрести валирийскую маску",
"buy_facemask_decision_desc","localization/english/event_localization/buy_valyrian_mask_l_english.yml","11","localization/russian/buy_valyrian_mask_l_russian.yml","11","In an attempt to regain part of your prior public appearance, you can purchase a facemask that will hide your disfigurement while being somewhat ornate and flashy.","Чтобы вновь явиться двору с достоинством, вы можете приобрести маску, которая скроет увечья лица — пусть даже её роскошь покажется кому-то чрезмерной.",
"buy_facemask_decision_tooltip","localization/english/event_localization/buy_valyrian_mask_l_english.yml","20","localization/russian/buy_valyrian_mask_l_russian.yml","20","For a sum of [gold|E][gold_i] you can purchase a Valyrian facemask to wear at court.","За [gold|E][gold_i] можно приобрести валирийскую маску и носить её при дворе.",
"buy_facemask_desc","localization/english/event_localization/buy_valyrian_mask_l_english.yml","9","localization/russian/buy_valyrian_mask_l_russian.yml","9","Buy an ornate facemask to cover the disfigured portions of your face.","Купить изысканную маску, чтобы скрыть изуродованную часть лица.",
"buy_facemask_desc.0001.desc","localization/english/event_localization/buy_valyrian_mask_l_english.yml","12","localization/russian/buy_valyrian_mask_l_russian.yml","12","I summon my craftsman and order him to bring me an assortment of designs for my new mask. It is time to ditch this horrid mask I am currently using in favor of something more ornate.\n\n""My [ROOT.Char.GetLadyLord|U], what material best suites you?\"" He asks, presenting me with several options.","Я призываю мастера и велю ему принести несколько эскизов новой маски. Довольно этой жалкой личины: мне нужен облик богаче, величественнее и достойнее моего положения.\n\n«Ваша милость, какой материал вам больше по душе?» — спрашивает он, раскладывая передо мной несколько вариантов.",
"buy_facemask_desc.0002.desc","localization/english/event_localization/buy_valyrian_mask_l_english.yml","14","localization/russian/buy_valyrian_mask_l_russian.yml","14","Eventually my craftsman returns with the mask I had commissioned from him. \n\nHe fits the mask to my face and presents me with a mirror. \n\nThe part of my face that had been disfigured is now hidden behind this mask, while the rest of my face is once again visible to the world.","Наконец мастер возвращается с заказанной маской.\n\nОн бережно подгоняет её к моему лицу и подносит зеркало.\n\nИзуродованная часть лица скрыта за новой маской, а остальное вновь открыто взглядам двора.",
"buy_rubies","localization/english/lotd_memories_l_english.yml","36","localization/russian/lotd_memories_l_russian.yml","36","Repurchased crown rubies","Выкупленные рубины короны",
"buy_rubies_desc","localization/english/lotd_memories_l_english.yml","26","localization/russian/lotd_memories_l_russian.yml","26","I repurchased the rubies that belong to my crown","Я [Select_CString(owner.IsFemale, 'выкупила', 'выкупил')] рубины, некогда украшавшие мою корону.",
"buy_rubies_desc_second_perspective","localization/english/lotd_memories_l_english.yml","27","localization/russian/lotd_memories_l_russian.yml","27","you repurchased the rubies that belong to your crown","Вы выкупили рубины, некогда украшавшие вашу корону.",
"buy_rubies_desc_third_perspective","localization/english/lotd_memories_l_english.yml","28","localization/russian/lotd_memories_l_russian.yml","28","[owner.GetName] repurchased the rubies that belong to [owner.GetHerHis] crown","[owner.GetName] [Select_CString(owner.IsFemale, 'выкупила', 'выкупил')] рубины, некогда украшавшие [owner.GetHerHis] корону.",
"buy_ruby_crown","localization/english/event_localization/sell_rubies_l_english.yml","22","localization/russian/sell_rubies_l_russian.yml","22","Buy Rubies","Выкупить рубины",
"buy_ruby_crown.0001.a","localization/english/event_localization/sell_rubies_l_english.yml","36","localization/russian/sell_rubies_l_russian.yml","36","My crown has been restored to its former glory!","Моя корона вновь обрела былое великолепие!",
"buy_ruby_crown.0001.desc","localization/english/event_localization/sell_rubies_l_english.yml","35","localization/russian/sell_rubies_l_russian.yml","35","I lay down my gold, a fair sum more than what these rubies initially sold for, and take back the rubies the once sat atop my crown.","Я выкладываю золото — куда больше, чем получил[Select_CString(ROOT.Char.IsFemale, 'а', '')] при продаже, — и забираю рубины, некогда украшавшие мою корону.",
"buy_ruby_crown.0001.t","localization/english/event_localization/sell_rubies_l_english.yml","34","localization/russian/sell_rubies_l_russian.yml","34","Restoring the crown","Корона восстановлена",
"buy_ruby_crown_confirm","localization/english/event_localization/sell_rubies_l_english.yml","24","localization/russian/sell_rubies_l_russian.yml","24","Buy rubies","Выкупить рубины",
"buy_ruby_crown_decision_tooltip","localization/english/event_localization/sell_rubies_l_english.yml","25","localization/russian/sell_rubies_l_russian.yml","25","Repurchase the rubies that once belonged to your crown.","Выкупить рубины, некогда принадлежавшие вашей короне.",
"buy_ruby_crown_desc","localization/english/event_localization/sell_rubies_l_english.yml","23","localization/russian/sell_rubies_l_russian.yml","23","A merchant with the rubies that once adorned my crown is in town, for some [gold|E] I can restore my crown to its former glory.","Купец, у которого оказались рубины, некогда украшавшие мою корону, сейчас в городе. За небольшую сумму [Concept( 'gold', 'золота' )|E] я смогу вернуть короне былое великолепие.",
"buy_ruby_crown_effect_0","localization/english/event_localization/sell_rubies_l_english.yml","28","localization/russian/sell_rubies_l_russian.yml","28","The rubies that once belonged on your crown will be reacquired in exchange for [gold|E].","Рубины, некогда украшавшие вашу корону, будут выкуплены за [gold|E].",
"buy_ruby_crown_effect_1","localization/english/event_localization/sell_rubies_l_english.yml","29","localization/russian/sell_rubies_l_russian.yml","29","You will lose 450 [gold|E].","Вы потеряете 450 [Concept( 'gold', 'золота' )|E].",
"buy_ruby_crown_effect_2","localization/english/event_localization/sell_rubies_l_english.yml","30","localization/russian/sell_rubies_l_russian.yml","30","You will gain 200 [prestige|E].","Вы получите 200 [Concept( 'prestige', 'престижа' )|E].",
"calamity_poses_list","localization/english/lotd_poses_l_english.yml","3","localization/russian/lotd_poses_l_russian.yml","3","Calamity","Бедствие",
"darksister_poses_list","localization/english/lotd_poses_l_english.yml","6","localization/russian/lotd_poses_l_russian.yml","6","Darksister","Тёмная Сестра",
"discover_prophecy","localization/english/lotd_memories_l_english.yml","21","localization/russian/lotd_memories_l_russian.yml","21","Rediscovered a prophecy","Пророчество открыто вновь",
"discover_prophecy_desc","localization/english/lotd_memories_l_english.yml","15","localization/russian/lotd_memories_l_russian.yml","15","I rediscovered the prophecy hidden in [aegonTargLoc.GetFirstNameNicknamedPossessive] dagger","Я [Select_CString(owner.IsFemale, 'вновь открыла', 'вновь открыл')] пророчество, сокрытое в кинжале [aegonTargLoc.GetFirstNameNicknamedPossessive]",
"discover_prophecy_desc_second_perspective","localization/english/lotd_memories_l_english.yml","16","localization/russian/lotd_memories_l_russian.yml","16","you rediscovered the prophecy hidden in [aegonTargLoc.GetFirstNameNicknamedPossessive] dagger","Вы вновь открыли пророчество, сокрытое в кинжале [aegonTargLoc.GetFirstNameNicknamedPossessive]",
"discover_prophecy_desc_third_perspective","localization/english/lotd_memories_l_english.yml","17","localization/russian/lotd_memories_l_russian.yml","17","[owner.GetName] rediscovered the prophecy hidden in [aegonTargLoc.GetFirstNameNicknamedPossessive] dagger","[owner.GetName] [Select_CString(owner.IsFemale, 'вновь открыла', 'вновь открыл')] пророчество, сокрытое в кинжале [aegonTargLoc.GetFirstNameNicknamedPossessive]",
"dragon_eggs_poses_list","localization/english/lotd_poses_l_english.yml","7","localization/russian/lotd_poses_l_russian.yml","7","Dragon eggs","Драконьи яйца",
"eyereplace.0001.t","localization/english/lotd_decisions_l_english.yml","58","localization/russian/lotd_decisions_l_russian.yml","58","New style","Новый облик",
"inherit_prophecy","localization/english/lotd_memories_l_english.yml","23","localization/russian/lotd_memories_l_russian.yml","23","Inherited a prophecy","Унаследованное пророчество",
"inherit_prophecy_desc","localization/english/lotd_memories_l_english.yml","11","localization/russian/lotd_memories_l_russian.yml","11","I learned of the prophecy hidden in [aegonTargLoc.GetFirstNameNicknamedPossessive] dagger from [daggerOwner.GetName]","Я [Select_CString(owner.IsFemale, 'узнала', 'узнал')] от [daggerOwner.GetName] о пророчестве, сокрытом в кинжале [aegonTargLoc.GetFirstNameNicknamedPossessive]",
"inherit_prophecy_desc_second_perspective","localization/english/lotd_memories_l_english.yml","12","localization/russian/lotd_memories_l_russian.yml","12","you learned of the prophecy hidden in [aegonTargLoc.GetFirstNameNicknamedPossessive] dagger from [daggerOwner.GetName]","Вы узнали от [daggerOwner.GetName] о пророчестве, сокрытом в кинжале [aegonTargLoc.GetFirstNameNicknamedPossessive]",
"inherit_prophecy_desc_third_perspective","localization/english/lotd_memories_l_english.yml","13","localization/russian/lotd_memories_l_russian.yml","13","[owner.GetName] learned of the prophecy hidden in [aegonTargLoc.GetFirstNameNicknamedPossessive] dagger from [daggerOwner.GetName]","[owner.GetName] [Select_CString(owner.IsFemale, 'узнала', 'узнал')] от [daggerOwner.GetName] о пророчестве, сокрытом в кинжале [aegonTargLoc.GetFirstNameNicknamedPossessive]",
"jaehaerys_crown_description_lotd","localization/english/artifacts/lotd_artifacts_l_english.yml","26","localization/russian/lotd_artifacts_l_russian.yml","26","The Crown of Jaehaerys I, ""the Concilliator"", is a gold crown with the sigil of each of the seven kingdoms lining the crown","Корона Джейхейриса I Миротворца — золотой венец, по ободу которого размещены гербы каждого из Семи Королевств.",
"orys_hammer_poses_list","localization/english/lotd_poses_l_english.yml","9","localization/russian/lotd_poses_l_russian.yml","9","Fury","Ярость",
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_secular_valyrian_dress_01_generic_high","localization/english/lotd_clothing_l_english.yml","19","localization/russian/lotd_clothing_l_russian.yml","19","@lotd_icon! Valyrian Dress (Western)","@lotd_icon! Валирийское платье (западный вариант)",
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_secular_valyrian_dress_01_high","localization/english/lotd_clothing_l_english.yml","18","localization/russian/lotd_clothing_l_russian.yml","18","@lotd_icon! Valyrian Dress","@lotd_icon! Валирийское платье",
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_nobility_01_generic_high","localization/english/lotd_clothing_l_english.yml","10","localization/russian/lotd_clothing_l_russian.yml","10","$PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_nobility_01_high$ (Western)","$PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_nobility_01_high$ (западный вариант)",
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_nobility_01_high","localization/english/lotd_clothing_l_english.yml","2","localization/russian/lotd_clothing_l_russian.yml","2","@lotd_icon! Valyrian Nobility Doublet","@lotd_icon! Валирийский дворянский дублет",
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_01_generic_high","localization/english/lotd_clothing_l_english.yml","11","localization/russian/lotd_clothing_l_russian.yml","11","$PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_01_high$ (Western)","$PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_01_high$ (западный вариант)",
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_01_generic_low","localization/english/lotd_clothing_l_english.yml","12","localization/russian/lotd_clothing_l_russian.yml","12","$PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_01_low$ (Western)","$PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_01_low$ (западный вариант)",
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_01_high","localization/english/lotd_clothing_l_english.yml","3","localization/russian/lotd_clothing_l_russian.yml","3","@lotd_icon! Valyrian Robes Royal","@lotd_icon! Валирийское королевское одеяние",
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_01_low","localization/english/lotd_clothing_l_english.yml","4","localization/russian/lotd_clothing_l_russian.yml","4","@lotd_icon! Valyrian Robes","@lotd_icon! Валирийское одеяние",
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_no_gloves_01_generic_high","localization/english/lotd_clothing_l_english.yml","13","localization/russian/lotd_clothing_l_russian.yml","13","$PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_no_gloves_01_high$ (Western)","$PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_no_gloves_01_high$ (западный вариант)",
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_no_gloves_01_generic_low","localization/english/lotd_clothing_l_english.yml","14","localization/russian/lotd_clothing_l_russian.yml","14","$PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_no_gloves_01_low$ (Western)","$PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_no_gloves_01_low$ (западный вариант)",
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_no_gloves_01_high","localization/english/lotd_clothing_l_english.yml","5","localization/russian/lotd_clothing_l_russian.yml","5","@lotd_icon! Valyrian Robes Royal (No Gloves)","@lotd_icon! Валирийское королевское одеяние (без перчаток)",
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_secular_valyrian_robes_no_gloves_01_low","localization/english/lotd_clothing_l_english.yml","6","localization/russian/lotd_clothing_l_russian.yml","6","@lotd_icon! Valyrian Robes (No Gloves)","@lotd_icon! Валирийское одеяние (без перчаток)",
"PORTRAIT_MODIFIER_custom_headgear_female_aegoncrown_01","localization/english/lotd_clothing_l_english.yml","26","localization/russian/lotd_clothing_l_russian.yml","26","$PORTRAIT_MODIFIER_custom_headgear_male_aegoncrown_01$","$PORTRAIT_MODIFIER_custom_headgear_male_aegoncrown_01$",
"PORTRAIT_MODIFIER_custom_headgear_female_aegoncrown_02","localization/english/lotd_clothing_l_english.yml","27","localization/russian/lotd_clothing_l_russian.yml","27","$PORTRAIT_MODIFIER_custom_headgear_male_aegoncrown_02$","$PORTRAIT_MODIFIER_custom_headgear_male_aegoncrown_02$",
"PORTRAIT_MODIFIER_custom_headgear_female_viserys_crown_01","localization/english/lotd_clothing_l_english.yml","33","localization/russian/lotd_clothing_l_russian.yml","33","$PORTRAIT_MODIFIER_custom_headgear_male_viserys_crown_01$","$PORTRAIT_MODIFIER_custom_headgear_male_viserys_crown_01$",
"PORTRAIT_MODIFIER_custom_headgear_male_aegoncrown_01","localization/english/lotd_clothing_l_english.yml","24","localization/russian/lotd_clothing_l_russian.yml","24","$AEGON_CROWN_LOTD$","$AEGON_CROWN_LOTD$",
"PORTRAIT_MODIFIER_custom_headgear_male_aegoncrown_02","localization/english/lotd_clothing_l_english.yml","25","localization/russian/lotd_clothing_l_russian.yml","25","$AEGON_CROWN_LOTD$ (No Gems)","$AEGON_CROWN_LOTD$ (без рубинов)",
"PORTRAIT_MODIFIER_custom_headgear_male_viserys_crown_01","localization/english/lotd_clothing_l_english.yml","32","localization/russian/lotd_clothing_l_russian.yml","32","@lotd_icon! Viserys I's Crown","@lotd_icon! Корона Визериса I",
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_valyrian_nobility_01","localization/english/lotd_clothing_l_english.yml","36","localization/russian/lotd_clothing_l_russian.yml","36","@lotd_icon! Valyrian Legwear","@lotd_icon! Валирийские брюки",
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_valyrian_nobility_01","localization/english/lotd_clothing_l_english.yml","16","localization/russian/lotd_clothing_l_russian.yml","16","@lotd_icon! Valyrian Nobility Legwear","@lotd_icon! Валирийские дворянские брюки",
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_valyrian_nobility_02","localization/english/lotd_clothing_l_english.yml","35","localization/russian/lotd_clothing_l_russian.yml","35","@lotd_icon! Valyrian Legwear","@lotd_icon! Валирийские брюки",
"PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_01","localization/english/lotd_clothing_l_english.yml","38","localization/russian/lotd_clothing_l_russian.yml","38","@lotd_icon! Valyrian Mask 1","@lotd_icon! Валирийская маска 1",
"PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_01_female","localization/english/lotd_clothing_l_english.yml","43","localization/russian/lotd_clothing_l_russian.yml","43","$PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_01$","$PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_01$",
"PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_02","localization/english/lotd_clothing_l_english.yml","39","localization/russian/lotd_clothing_l_russian.yml","39","@lotd_icon! Valyrian Mask 2","@lotd_icon! Валирийская маска 2",
"PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_02_female","localization/english/lotd_clothing_l_english.yml","44","localization/russian/lotd_clothing_l_russian.yml","44","$PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_02$","$PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_02$",
"PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_03","localization/english/lotd_clothing_l_english.yml","40","localization/russian/lotd_clothing_l_russian.yml","40","@lotd_icon! Valyrian Mask 3","@lotd_icon! Валирийская маска 3",
"PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_03_female","localization/english/lotd_clothing_l_english.yml","45","localization/russian/lotd_clothing_l_russian.yml","45","$PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_03$","$PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_03$",
"PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_04","localization/english/lotd_clothing_l_english.yml","41","localization/russian/lotd_clothing_l_russian.yml","41","@lotd_icon! Valyrian Mask 4","@lotd_icon! Валирийская маска 4",
"PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_04_female","localization/english/lotd_clothing_l_english.yml","46","localization/russian/lotd_clothing_l_russian.yml","46","$PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_04$","$PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_04$",
"PORTRAIT_MODIFIER_custom_special_masks_viserys_mask_05","localization/english/lotd_clothing_l_english.yml","42","localization/russian/lotd_clothing_l_russian.yml","42","@lotd_icon! Valyrian Mask 5","@lotd_icon! Валирийская маска 5",
